"행정구역","2025년_계_총인구수","2025년_계_연령구간인구수","2025년_계_8세","2025년_계_9세","2025년_계_10세","2025년_계_11세","2025년_계_12세","2025년_계_13세"
"서울특별시  (1100000000)","9,299,548","392,230","54,961","62,088","66,913","66,610","67,029","74,629"
"서울특별시 종로구 (1111000000)","137,048","4,669","634","703","814","768","816","934"
"서울특별시 종로구 청운효자동(1111051500)","10,876","510","65","76","81","72","96","120"
"서울특별시 종로구 사직동(1111053000)","8,898","361","53","57","61","61","68","61"
"서울특별시 종로구 삼청동(1111054000)","2,114","74","12","6","15","10","14","17"
"서울특별시 종로구 부암동(1111055000)","8,926","393","54","55","72","53","75","84"
"서울특별시 종로구 평창동(1111056000)","17,071","814","106","119","142","150","156","141"
"서울특별시 종로구 무악동(1111057000)","7,691","463","63","76","75","83","82","84"
"서울특별시 종로구 교남동(1111058000)","9,438","422","68","69","93","51","56","85"
"서울특별시 종로구 가회동(1111060000)","3,620","132","17","18","27","20","29","21"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,609","104","4","16","19","26","12","27"
"서울특별시 종로구 종로5.6가동(1111063000)","5,428","113","26","15","21","15","17","19"
"서울특별시 종로구 이화동(1111064000)","7,057","153","17","23","22","27","29","35"
"서울특별시 종로구 혜화동(1111065000)","15,652","467","58","66","74","82","81","106"
"서울특별시 종로구 창신제1동(1111067000)","4,416","64","5","9","17","12","7","14"
"서울특별시 종로구 창신제2동(1111068000)","7,174","113","19","16","19","18","22","19"
"서울특별시 종로구 창신제3동(1111069000)","6,128","180","29","28","30","29","28","36"
"서울특별시 종로구 숭인제1동(1111070000)","5,713","170","22","24","19","42","23","40"
"서울특별시 종로구 숭인제2동(1111071000)","10,237","136","16","30","27","17","21","25"
"서울특별시 중구 (1114000000)","117,805","3,251","507","566","552","533","523","570"
"서울특별시 중구 소공동(1114052000)","2,186","101","16","9","20","18","19","19"
"서울특별시 중구 회현동(1114054000)","4,096","106","15","10","21","21","20","19"
"서울특별시 중구 명동(1114055000)","2,462","42","4","6","3","12","7","10"
"서울특별시 중구 필동(1114057000)","4,301","103","11","13","23","18","23","15"
"서울특별시 중구 장충동(1114058000)","4,529","106","12","17","11","19","19","28"
"서울특별시 중구 광희동(1114059000)","5,684","88","14","14","10","21","10","19"
"서울특별시 중구 을지로동(1114060500)","3,000","52","8","11","5","11","4","13"
"서울특별시 중구 신당동(1114061500)","7,416","140","28","22","30","26","20","14"
"서울특별시 중구 다산동(1114062500)","13,021","316","46","54","53","44","50","69"
"서울특별시 중구 약수동(1114063500)","15,749","452","75","75","98","73","57","74"
"서울특별시 중구 청구동(1114064500)","10,736","316","47","55","45","60","48","61"
"서울특별시 중구 신당제5동(1114065000)","9,939","281","37","52","37","39","69","47"
"서울특별시 중구 동화동(1114066500)","9,721","400","56","84","64","59","79","58"
"서울특별시 중구 황학동(1114067000)","13,116","287","46","54","58","47","33","49"
"서울특별시 중구 중림동(1114068000)","11,849","461","92","90","74","65","65","75"
"서울특별시 용산구 (1117000000)","201,894","6,958","1,042","1,140","1,164","1,179","1,175","1,258"
"서울특별시 용산구 후암동(1117051000)","15,653","563","75","83","93","90","103","119"
"서울특별시 용산구 용산2가동(1117052000)","8,498","173","18","28","35","29","31","32"
"서울특별시 용산구 남영동(1117053000)","6,996","83","11","19","16","14","12","11"
"서울특별시 용산구 청파동(1117055500)","18,651","367","40","54","52","63","73","85"
"서울특별시 용산구 원효로제1동(1117056000)","17,025","544","94","86","97","97","87","83"
"서울특별시 용산구 원효로제2동(1117057000)","13,390","487","65","80","89","84","81","88"
"서울특별시 용산구 효창동(1117058000)","10,390","391","73","67","69","70","56","56"
"서울특별시 용산구 용문동(1117059000)","11,050","324","54","57","54","54","48","57"
"서울특별시 용산구 한강로동(1117062500)","20,889","511","79","109","80","79","85","79"
"서울특별시 용산구 이촌제1동(1117063000)","24,919","1,687","270","282","278","284","277","296"
"서울특별시 용산구 이촌제2동(1117064000)","7,737","205","30","30","33","42","34","36"
"서울특별시 용산구 이태원제1동(1117065000)","5,898","126","24","13","32","21","20","16"
"서울특별시 용산구 이태원제2동(1117066000)","8,350","234","35","38","42","30","47","42"
"서울특별시 용산구 한남동(1117068500)","13,719","534","85","96","90","96","83","84"
"서울특별시 용산구 서빙고동(1117069000)","12,045","592","75","80","87","106","109","135"
"서울특별시 용산구 보광동(1117070000)","6,684","137","14","18","17","20","29","39"
"서울특별시 성동구 (1120000000)","274,606","9,966","1,588","1,738","1,710","1,703","1,610","1,617"
"서울특별시 성동구 왕십리제2동(1120052000)","15,774","585","68","106","110","101","106","94"
"서울특별시 성동구 왕십리도선동(1120053500)","25,540","1,147","222","209","184","180","182","170"
"서울특별시 성동구 마장동(1120054000)","21,438","622","87","118","92","111","97","117"
"서울특별시 성동구 사근동(1120055000)","11,950","216","23","40","37","45","37","34"
"서울특별시 성동구 행당제1동(1120056000)","15,457","595","93","109","96","113","103","81"
"서울특별시 성동구 행당제2동(1120057000)","22,412","1,022","161","166","173","173","179","170"
"서울특별시 성동구 응봉동(1120058000)","14,433","766","107","134","128","125","136","136"
"서울특별시 성동구 금호1가동(1120059000)","14,277","634","117","88","115","106","105","103"
"서울특별시 성동구 금호2.3가동(1120061500)","20,566","729","112","138","148","118","101","112"
"서울특별시 성동구 금호4가동(1120062000)","13,869","626","116","113","126","93","91","87"
"서울특별시 성동구 옥수동(1120064500)","25,080","1,157","209","213","209","188","172","166"
"서울특별시 성동구 성수1가제1동(1120065000)","14,906","417","75","69","60","70","74","69"
"서울특별시 성동구 성수1가제2동(1120066000)","13,548","399","74","56","61","74","61","73"
"서울특별시 성동구 성수2가제1동(1120067000)","13,692","317","34","55","53","70","52","53"
"서울특별시 성동구 성수2가제3동(1120069000)","9,508","253","30","45","41","46","40","51"
"서울특별시 성동구 송정동(1120072000)","9,116","245","37","37","36","47","38","50"
"서울특별시 성동구 용답동(1120079000)","13,040","236","23","42","41","43","36","51"
"서울특별시 광진구 (1121500000)","331,167","11,899","1,560","1,856","2,044","1,992","2,123","2,324"
"서울특별시 광진구 화양동(1121571000)","22,755","186","20","38","31","34","34","29"
"서울특별시 광진구 군자동(1121573000)","18,459","453","61","78","83","76","60","95"
"서울특별시 광진구 중곡제1동(1121574000)","14,865","322","41","42","62","54","66","57"
"서울특별시 광진구 중곡제2동(1121575000)","19,752","609","80","105","110","97","91","126"
"서울특별시 광진구 중곡제3동(1121576000)","15,164","386","50","49","73","67","53","94"
"서울특별시 광진구 중곡제4동(1121577000)","26,759","695","93","92","118","120","139","133"
"서울특별시 광진구 능동(1121578000)","10,811","250","39","41","47","34","54","35"
"서울특별시 광진구 광장동(1121581000)","32,964","2,899","353","429","480","454","600","583"
"서울특별시 광진구 자양제1동(1121582000)","21,509","582","67","92","96","91","108","128"
"서울특별시 광진구 자양제2동(1121583000)","26,401","967","121","161","158","167","174","186"
"서울특별시 광진구 자양제3동(1121584000)","26,669","1,329","191","231","241","236","211","219"
"서울특별시 광진구 자양제4동(1121584700)","19,835","412","61","65","74","70","68","74"
"서울특별시 광진구 구의제1동(1121585000)","22,856","580","76","87","103","100","98","116"
"서울특별시 광진구 구의제2동(1121586000)","24,857","1,003","136","157","171","160","180","199"
"서울특별시 광진구 구의제3동(1121587000)","27,511","1,226","171","189","197","232","187","250"
"서울특별시 동대문구 (1123000000)","346,241","12,578","1,918","2,037","2,192","2,093","2,042","2,296"
"서울특별시 동대문구 신설동(1123051500)","16,375","516","86","86","97","76","101","70"
"서울특별시 동대문구 용두동(1123053300)","22,573","625","112","109","97","106","94","107"
"서울특별시 동대문구 제기동(1123054500)","22,291","501","73","69","76","88","85","110"
"서울특별시 동대문구 전농제1동(1123056000)","32,262","1,275","200","209","229","223","200","214"
"서울특별시 동대문구 전농제2동(1123057000)","17,349","726","82","118","122","135","129","140"
"서울특별시 동대문구 답십리제1동(1123060000)","27,251","1,329","207","247","252","225","190","208"
"서울특별시 동대문구 답십리제2동(1123061000)","27,346","918","151","152","149","158","143","165"
"서울특별시 동대문구 장안제1동(1123065000)","37,034","1,377","204","222","262","237","214","238"
"서울특별시 동대문구 장안제2동(1123066000)","32,786","1,782","282","317","293","294","276","320"
"서울특별시 동대문구 청량리동(1123070500)","18,005","423","55","63","81","70","65","89"
"서울특별시 동대문구 회기동(1123071000)","10,102","266","39","30","39","40","61","57"
"서울특별시 동대문구 휘경제1동(1123072000)","16,660","490","86","79","93","72","64","96"
"서울특별시 동대문구 휘경제2동(1123073000)","23,607","788","102","110","128","128","144","176"
"서울특별시 동대문구 이문제1동(1123074000)","24,539","867","141","103","167","140","150","166"
"서울특별시 동대문구 이문제2동(1123075000)","18,061","695","98","123","107","101","126","140"
"서울특별시 중랑구 (1126000000)","376,916","12,754","1,851","2,128","2,207","2,025","2,165","2,378"
"서울특별시 중랑구 면목제2동(1126052000)","22,978","697","98","113","115","111","125","135"
"서울특별시 중랑구 면목제4동(1126054000)","17,509","561","81","82","106","80","98","114"
"서울특별시 중랑구 면목제5동(1126055000)","14,058","698","136","137","127","109","97","92"
"서울특별시 중랑구 면목본동(1126056500)","31,605","777","100","115","169","119","123","151"
"서울특별시 중랑구 면목제7동(1126057000)","20,530","557","93","105","101","72","94","92"
"서울특별시 중랑구 면목제3.8동(1126057500)","23,476","536","65","82","105","84","84","116"
"서울특별시 중랑구 상봉제1동(1126058000)","22,807","927","124","155","153","164","149","182"
"서울특별시 중랑구 상봉제2동(1126059000)","21,225","335","48","51","59","59","51","67"
"서울특별시 중랑구 중화제1동(1126060000)","17,881","564","87","89","94","93","98","103"
"서울특별시 중랑구 중화제2동(1126061000)","25,489","587","90","112","94","95","101","95"
"서울특별시 중랑구 묵제1동(1126062000)","32,991","1,528","198","263","233","244","287","303"
"서울특별시 중랑구 묵제2동(1126063000)","17,626","496","72","86","89","90","66","93"
"서울특별시 중랑구 망우본동(1126065500)","37,916","1,514","268","289","280","229","210","238"
"서울특별시 중랑구 망우제3동(1126066000)","15,196","401","65","59","63","61","74","79"
"서울특별시 중랑구 신내1동(1126068000)","36,607","1,862","235","275","290","297","382","383"
"서울특별시 중랑구 신내2동(1126069000)","19,022","714","91","115","129","118","126","135"
"서울특별시 성북구 (1129000000)","422,559","17,968","2,577","2,934","3,159","3,024","2,953","3,321"
"서울특별시 성북구 성북동(1129052500)","15,470","450","55","68","70","75","79","103"
"서울특별시 성북구 삼선동(1129055500)","21,619","632","85","95","113","108","101","130"
"서울특별시 성북구 동선동(1129057500)","14,743","317","41","44","58","48","66","60"
"서울특별시 성북구 돈암제1동(1129058000)","13,729","473","61","80","70","79","90","93"
"서울특별시 성북구 돈암제2동(1129059000)","22,878","1,362","209","206","231","236","230","250"
"서울특별시 성북구 안암동(1129060000)","15,447","281","44","45","52","43","51","46"
"서울특별시 성북구 보문동(1129061000)","15,748","536","80","104","94","100","73","85"
"서울특별시 성북구 정릉제1동(1129062000)","17,566","898","127","145","157","141","154","174"
"서울특별시 성북구 정릉제2동(1129063000)","21,668","755","116","143","131","151","88","126"
"서울특별시 성북구 정릉제3동(1129064000)","13,795","313","40","47","49","57","47","73"
"서울특별시 성북구 정릉제4동(1129065000)","23,513","824","110","120","129","144","149","172"
