"행정구역","2025년_계_총인구수","2025년_계_연령구간인구수","2025년_계_8세","2025년_계_9세","2025년_계_10세","2025년_계_11세","2025년_계_12세","2025년_계_13세"
"서울특별시 성북구 길음제1동(1129066000)","35,437","2,911","345","441","514","487","572","552"
"서울특별시 성북구 길음제2동(1129068500)","21,362","1,335","251","249","244","219","193","179"
"서울특별시 성북구 종암동(1129070500)","36,798","1,659","215","251","291","283","280","339"
"서울특별시 성북구 월곡제1동(1129071500)","24,661","1,178","150","202","207","192","193","234"
"서울특별시 성북구 월곡제2동(1129072500)","18,338","554","72","86","82","108","95","111"
"서울특별시 성북구 장위제1동(1129076000)","22,700","1,006","163","160","202","162","132","187"
"서울특별시 성북구 장위제2동(1129077000)","15,649","421","67","67","62","73","69","83"
"서울특별시 성북구 장위제3동(1129078000)","18,641","1,054","170","211","229","157","144","143"
"서울특별시 성북구 석관동(1129081000)","32,797","1,009","176","170","174","161","147","181"
"서울특별시 강북구 (1130500000)","278,928","8,997","1,274","1,373","1,464","1,496","1,603","1,787"
"서울특별시 강북구 삼양동(1130553400)","24,459","855","122","151","144","139","138","161"
"서울특별시 강북구 미아동(1130553500)","20,202","452","60","64","74","70","93","91"
"서울특별시 강북구 송중동(1130554500)","27,370","875","125","146","128","154","164","158"
"서울특별시 강북구 송천동(1130555500)","21,936","530","69","83","83","87","105","103"
"서울특별시 강북구 삼각산동(1130557500)","29,987","1,964","273","289","303","339","345","415"
"서울특별시 강북구 번1동(1130559500)","16,040","315","46","40","49","52","58","70"
"서울특별시 강북구 번2동(1130560300)","14,328","373","48","54","73","58","61","79"
"서울특별시 강북구 번3동(1130560800)","15,610","490","70","74","69","87","99","91"
"서울특별시 강북구 수유1동(1130561500)","19,298","546","85","81","84","89","96","111"
"서울특별시 강북구 수유2동(1130562500)","19,954","587","95","83","109","100","102","98"
"서울특별시 강북구 수유3동(1130563500)","22,375","419","59","66","73","63","83","75"
"서울특별시 강북구 우이동(1130564500)","19,349","639","75","114","115","110","100","125"
"서울특별시 강북구 인수동(1130566000)","28,020","952","147","128","160","148","159","210"
"서울특별시 도봉구 (1132000000)","299,899","11,009","1,508","1,710","1,897","1,941","1,871","2,082"
"서울특별시 도봉구 창제1동(1132051100)","23,378","941","120","126","143","174","193","185"
"서울특별시 도봉구 창제2동(1132051200)","27,480","975","143","169","165","161","143","194"
"서울특별시 도봉구 창제3동(1132051300)","12,742","437","54","82","78","67","82","74"
"서울특별시 도봉구 창제4동(1132051400)","25,942","1,088","135","178","202","191","171","211"
"서울특별시 도봉구 창제5동(1132051500)","23,284","814","113","140","119","149","136","157"
"서울특별시 도봉구 도봉제1동(1132052100)","19,440","482","57","67","90","89","86","93"
"서울특별시 도봉구 도봉제2동(1132052200)","25,554","769","124","140","160","136","104","105"
"서울특별시 도봉구 쌍문제1동(1132066000)","20,482","740","105","106","139","120","128","142"
"서울특별시 도봉구 쌍문제2동(1132067000)","17,333","550","84","91","103","90","82","100"
"서울특별시 도봉구 쌍문제3동(1132068000)","15,949","425","63","62","70","78","63","89"
"서울특별시 도봉구 쌍문제4동(1132068100)","17,657","884","110","122","144","162","171","175"
"서울특별시 도봉구 방학제1동(1132069000)","27,628","1,021","141","150","173","173","183","201"
"서울특별시 도봉구 방학제2동(1132070000)","17,645","516","80","87","79","92","81","97"
"서울특별시 도봉구 방학제3동(1132071000)","25,385","1,367","179","190","232","259","248","259"
"서울특별시 노원구 (1135000000)","483,541","21,981","2,870","3,291","3,685","3,793","3,906","4,436"
"서울특별시 노원구 월계1동(1135056000)","20,078","619","84","93","88","113","102","139"
"서울특별시 노원구 월계2동(1135057000)","24,822","965","134","169","169","159","158","176"
"서울특별시 노원구 월계3동(1135058000)","27,839","961","143","175","166","148","155","174"
"서울특별시 노원구 공릉1동(1135059500)","35,191","1,118","147","181","165","187","213","225"
"서울특별시 노원구 공릉2동(1135060000)","40,695","2,146","338","342","362","375","357","372"
"서울특별시 노원구 하계1동(1135061100)","25,422","869","103","111","134","132","177","212"
"서울특별시 노원구 하계2동(1135061200)","19,608","1,129","155","185","178","201","205","205"
"서울특별시 노원구 중계본동(1135061900)","22,233","1,882","173","222","317","311","419","440"
"서울특별시 노원구 중계1동(1135062100)","25,977","2,823","312","343","460","504","559","645"
"서울특별시 노원구 중계4동(1135062400)","18,600","885","129","134","134","158","152","178"
"서울특별시 노원구 중계2.3동(1135062500)","31,490","1,191","147","191","216","193","192","252"
"서울특별시 노원구 상계1동(1135063000)","35,997","1,360","185","218","255","223","230","249"
"서울특별시 노원구 상계2동(1135064000)","18,580","592","60","88","89","110","107","138"
"서울특별시 노원구 상계3.4동(1135066500)","26,613","1,093","169","165","199","193","169","198"
"서울특별시 노원구 상계5동(1135067000)","22,152","680","84","101","102","115","124","154"
"서울특별시 노원구 상계6.7동(1135069500)","30,309","1,207","162","186","210","228","194","227"
"서울특별시 노원구 상계8동(1135070000)","21,239","968","140","150","159","172","153","194"
"서울특별시 노원구 상계9동(1135071000)","18,959","739","105","113","135","136","116","134"
"서울특별시 노원구 상계10동(1135072000)","17,737","754","100","124","147","135","124","124"
"서울특별시 은평구 (1138000000)","455,137","17,492","2,401","2,778","3,020","2,931","2,998","3,364"
"서울특별시 은평구 녹번동(1138051000)","35,103","1,229","191","211","213","229","175","210"
"서울특별시 은평구 불광제1동(1138052000)","34,424","1,150","147","186","197","197","209","214"
"서울특별시 은평구 불광제2동(1138053000)","26,181","611","81","86","116","94","98","136"
"서울특별시 은평구 갈현제1동(1138055100)","13,993","412","45","69","65","63","80","90"
"서울특별시 은평구 갈현제2동(1138055200)","26,779","912","112","123","161","148","171","197"
"서울특별시 은평구 구산동(1138056000)","30,648","1,117","156","179","189","203","176","214"
"서울특별시 은평구 대조동(1138057000)","26,990","638","77","105","110","126","105","115"
"서울특별시 은평구 응암제1동(1138058000)","32,004","1,424","228","217","268","229","236","246"
"서울특별시 은평구 응암제2동(1138059000)","26,878","1,826","282","299","325","278","315","327"
"서울특별시 은평구 응암제3동(1138060000)","22,889","554","70","75","90","100","90","129"
"서울특별시 은평구 역촌동(1138062500)","44,528","1,537","181","235","252","280","254","335"
"서울특별시 은평구 신사제1동(1138063100)","25,725","863","137","136","134","138","161","157"
"서울특별시 은평구 신사제2동(1138063200)","18,759","660","78","98","122","114","127","121"
"서울특별시 은평구 증산동(1138064000)","15,257","566","88","115","98","91","69","105"
"서울특별시 은평구 수색동(1138065000)","21,143","881","172","165","174","119","130","121"
"서울특별시 은평구 진관동(1138069000)","53,836","3,112","356","479","506","522","602","647"
"서울특별시 서대문구 (1141000000)","300,147","12,273","1,835","2,024","2,128","2,167","1,958","2,161"
"서울특별시 서대문구 천연동(1141052000)","16,323","602","93","107","99","116","98","89"
"서울특별시 서대문구 북아현동(1141055500)","15,106","669","124","128","125","105","81","106"
"서울특별시 서대문구 충현동(1141056500)","19,224","745","113","125","126","121","128","132"
"서울특별시 서대문구 신촌동(1141058500)","20,222","359","37","53","39","70","77","83"
"서울특별시 서대문구 연희동(1141061500)","33,123","949","139","144","172","189","137","168"
"서울특별시 서대문구 홍제제1동(1141062000)","24,281","884","129","148","164","159","137","147"
"서울특별시 서대문구 홍제제3동(1141064000)","17,290","599","116","100","96","109","89","89"
"서울특별시 서대문구 홍제제2동(1141065500)","11,949","393","74","53","53","79","66","68"
"서울특별시 서대문구 홍은제1동(1141066000)","23,241","871","126","162","168","136","138","141"
"서울특별시 서대문구 홍은제2동(1141068500)","27,231","1,104","150","179","179","194","173","229"
"서울특별시 서대문구 남가좌제1동(1141069000)","16,716","1,419","224","224","259","264","210","238"
"서울특별시 서대문구 남가좌제2동(1141070000)","28,483","1,689","267","299","328","286","244","265"
"서울특별시 서대문구 북가좌제1동(1141071000)","17,276","1,064","132","165","172","182","208","205"
"서울특별시 서대문구 북가좌제2동(1141072000)","29,682","926","111","137","148","157","172","201"
"서울특별시 마포구 (1144000000)","357,616","14,476","2,121","2,489","2,501","2,442","2,267","2,656"
"서울특별시 마포구 아현동(1144055500)","28,994","1,697","302","337","307","261","221","269"
"서울특별시 마포구 공덕동(1144056500)","35,929","1,169","155","195","218","213","186","202"
"서울특별시 마포구 도화동(1144058500)","20,222","794","115","135","142","149","128","125"
"서울특별시 마포구 용강동(1144059000)","21,114","1,527","240","271","271","256","244","245"
"서울특별시 마포구 대흥동(1144060000)","14,212","418","53","68","69","65","72","91"
"서울특별시 마포구 염리동(1144061000)","16,820","1,215","158","223","191","188","220","235"
"서울특별시 마포구 신수동(1144063000)","21,906","951","147","162","174","159","153","156"
"서울특별시 마포구 서강동(1144065500)","24,288","1,013","169","186","172","168","135","183"
"서울특별시 마포구 서교동(1144066000)","23,500","434","77","59","77","78","60","83"
"서울특별시 마포구 합정동(1144068000)","15,629","366","60","62","66","60","57","61"
"서울특별시 마포구 망원제1동(1144069000)","18,437","497","77","76","87","87","86","84"
"서울특별시 마포구 망원제2동(1144070000)","17,184","626","71","113","100","113","109","120"
"서울특별시 마포구 연남동(1144071000)","13,782","289","36","56","44","48","43","62"
"서울특별시 마포구 성산제1동(1144072000)","18,316","556","72","73","112","112","69","118"
"서울특별시 마포구 성산제2동(1144073000)","38,164","1,260","158","197","209","207","214","275"
"서울특별시 마포구 상암동(1144074000)","29,119","1,664","231","276","262","278","270","347"
"서울특별시 양천구 (1147000000)","425,088","24,999","3,280","3,620","4,098","4,302","4,614","5,085"
"서울특별시 양천구 목1동(1147051000)","29,901","3,117","398","443","522","504","629","621"
"서울특별시 양천구 목2동(1147052000)","27,851","1,032","139","151","162","181","200","199"
"서울특별시 양천구 목3동(1147053000)","20,674","627","104","89","131","104","91","108"
"서울특별시 양천구 목4동(1147054000)","23,687","1,194","127","157","193","195","234","288"
"서울특별시 양천구 목5동(1147055000)","40,547","4,276","549","580","679","742","834","892"
"서울특별시 양천구 신월1동(1147056000)","18,527","509","64","92","72","86","88","107"
"서울특별시 양천구 신월2동(1147057000)","20,395","919","112","168","160","171","145","163"
"서울특별시 양천구 신월3동(1147058000)","13,612","432","54","71","60","81","84","82"
"서울특별시 양천구 신월4동(1147059000)","16,714","783","131","123","110","162","120","137"
"서울특별시 양천구 신월5동(1147060000)","13,667","547","71","81","88","97","112","98"
"서울특별시 양천구 신월6동(1147061000)","13,694","856","132","152","158","144","123","147"
"서울특별시 양천구 신월7동(1147061100)","17,890","487","83","59","74","87","81","103"
"서울특별시 양천구 신정1동(1147062000)","19,444","1,900","244","274","276","337","394","375"
"서울특별시 양천구 신정2동(1147063000)","18,457","1,469","167","178","230","241","313","340"
"서울특별시 양천구 신정3동(1147064000)","47,403","2,242","304","346","376","388","356","472"
"서울특별시 양천구 신정4동(1147065000)","31,065","817","119","126","137","138","136","161"
"서울특별시 양천구 신정6동(1147067000)","23,845","2,093","283","274","380","360","360","436"
"서울특별시 양천구 신정7동(1147068000)","27,715","1,699","199","256","290","284","314","356"
"서울특별시 강서구 (1150000000)","549,711","22,125","3,048","3,604","3,764","3,743","3,665","4,301"
"서울특별시 강서구 염창동(1150051000)","41,090","2,542","345","388","447","453","424","485"
"서울특별시 강서구 등촌제1동(1150052000)","24,864","598","100","114","102","97","82","103"
"서울특별시 강서구 등촌제2동(1150053000)","18,979","661","87","100","104","128","100","142"
"서울특별시 강서구 등촌제3동(1150053500)","28,563","856","132","150","147","151","132","144"
"서울특별시 강서구 화곡제1동(1150054000)","49,493","1,182","182","199","215","191","175","220"
"서울특별시 강서구 화곡제2동(1150055000)","16,676","656","90","109","114","103","110","130"
"서울특별시 강서구 화곡제3동(1150056000)","20,535","798","103","118","136","145","128","168"
"서울특별시 강서구 화곡제4동(1150057000)","18,974","565","80","85","91","96","76","137"
"서울특별시 강서구 화곡본동(1150059000)","31,745","1,084","156","161","181","176","195","215"
"서울특별시 강서구 화곡제6동(1150059100)","25,428","730","129","142","123","108","90","138"
"서울특별시 강서구 화곡제8동(1150059300)","22,412","631","77","98","112","105","116","123"
"서울특별시 강서구 가양제1동(1150060300)","33,391","792","113","126","136","138","119","160"
"서울특별시 강서구 가양제2동(1150060400)","12,947","222","38","44","40","32","32","36"
"서울특별시 강서구 가양제3동(1150060500)","13,381","165","27","28","32","25","28","25"
"서울특별시 강서구 발산제1동(1150061100)","34,773","2,260","257","321","329","360","476","517"
"서울특별시 강서구 우장산동(1150061500)","43,655","2,894","388","458","471","524","488","565"
"서울특별시 강서구 공항동(1150062000)","28,684","1,899","252","393","387","316","292","259"
"서울특별시 강서구 방화제1동(1150063000)","40,009","2,322","308","368","375","378","399","494"
"서울특별시 강서구 방화제2동(1150064000)","22,761","645","97","103","118","130","87","110"
"서울특별시 강서구 방화제3동(1150064100)","21,351","623","87","99","104","87","116","130"
"서울특별시 구로구 (1153000000)","383,829","14,838","2,140","2,350","2,541","2,467","2,559","2,781"
"서울특별시 구로구 신도림동(1153051000)","35,749","2,193","306","348","396","385","389","369"
"서울특별시 구로구 구로제1동(1153052000)","20,120","1,000","140","167","160","168","170","195"
"서울특별시 구로구 구로제2동(1153053000)","21,742","473","62","53","81","71","91","115"
"서울특별시 구로구 구로제3동(1153054000)","22,617","639","90","95","103","98","115","138"
"서울특별시 구로구 구로제4동(1153055000)","17,726","336","55","46","53","66","41","75"
"서울특별시 구로구 구로제5동(1153056000)","28,571","729","111","139","133","114","102","130"
"서울특별시 구로구 가리봉동(1153059500)","8,739","129","17","26","22","22","22","20"
"서울특별시 구로구 고척제1동(1153072000)","26,193","931","125","167","157","158","147","177"
"서울특별시 구로구 고척제2동(1153073000)","24,924","972","148","135","176","162","156","195"
"서울특별시 구로구 개봉제1동(1153074000)","33,192","1,151","170","172","196","191","197","225"
"서울특별시 구로구 개봉제2동(1153075000)","29,240","1,028","169","165","191","151","168","184"
"서울특별시 구로구 개봉제3동(1153076000)","18,700","618","81","92","103","113","109","120"
"서울특별시 구로구 오류제1동(1153077000)","22,660","534","76","101","87","83","87","100"
"서울특별시 구로구 오류제2동(1153078000)","35,878","1,817","211","240","293","310","380","383"
"서울특별시 구로구 수궁동(1153079000)","21,832","797","87","119","120","140","165","166"
"서울특별시 구로구 항동(1153080000)","15,946","1,491","292","285","270","235","220","189"
"서울특별시 금천구 (1154500000)","223,290","6,414","938","1,023","1,113","1,072","991","1,277"
"서울특별시 금천구 가산동(1154551000)","25,373","288","40","56","47","55","46","44"
"서울특별시 금천구 독산제1동(1154561000)","47,506","1,538","235","263","297","228","229","286"
"서울특별시 금천구 독산제2동(1154562000)","17,115","473","72","79","78","88","77","79"
"서울특별시 금천구 독산제3동(1154563000)","22,673","506","81","76","98","77","75","99"
"서울특별시 금천구 독산제4동(1154564000)","13,822","328","52","55","41","65","49","66"
"서울특별시 금천구 시흥제1동(1154567000)","31,290","964","136","153","154","175","142","204"
"서울특별시 금천구 시흥제2동(1154568000)","19,912","956","127","144","164","145","179","197"
"서울특별시 금천구 시흥제3동(1154569000)","9,981","308","48","43","56","47","38","76"
"서울특별시 금천구 시흥제4동(1154570000)","18,352","562","75","95","84","108","89","111"
"서울특별시 금천구 시흥제5동(1154571000)","17,266","491","72","59","94","84","67","115"
"서울특별시 영등포구 (1156000000)","371,362","13,105","2,042","2,215","2,281","2,264","2,000","2,303"
"서울특별시 영등포구 영등포본동(1156051500)","20,288","611","88","105","117","97","91","113"
"서울특별시 영등포구 영등포동(1156053500)","31,162","483","85","85","103","73","65","72"
"서울특별시 영등포구 여의동(1156054000)","34,066","1,760","278","287","286","317","261","331"
"서울특별시 영등포구 당산제1동(1156055000)","21,052","469","66","78","70","81","74","100"
"서울특별시 영등포구 당산제2동(1156056000)","36,289","1,421","240","242","235","239","229","236"
"서울특별시 영등포구 도림동(1156058500)","17,605","428","53","76","77","78","68","76"
"서울특별시 영등포구 문래동(1156060500)","31,258","1,872","301","317","308","304","318","324"
"서울특별시 영등포구 양평제1동(1156061000)","18,215","599","94","95","101","108","101","100"
"서울특별시 영등포구 양평제2동(1156062000)","22,502","731","114","111","139","122","115","130"
"서울특별시 영등포구 신길제1동(1156063000)","18,947","406","61","75","74","78","41","77"
"서울특별시 영등포구 신길제3동(1156065000)","16,010","606","87","105","115","104","92","103"
"서울특별시 영등포구 신길제4동(1156066000)","11,828","473","77","94","73","81","76","72"
"서울특별시 영등포구 신길제5동(1156067000)","9,547","409","66","72","83","57","62","69"
"서울특별시 영등포구 신길제6동(1156068000)","17,754","517","59","103","95","94","74","92"
"서울특별시 영등포구 신길제7동(1156069000)","19,394","1,261","205","200","226","239","180","211"
"서울특별시 영등포구 대림제1동(1156070000)","13,204","337","58","66","57","56","53","47"
